order_id,customer_id,order_date
142,90,2024-10-26
143,98,2024-01-11
144,49,2024-10-21
145,1,2024-09-01
146,39,2024-06-29
147,54,2024-07-18
148,96,2024-10-02
149,78,2024-10-06
150,63,2024-04-22
151,35,2024-04-22
152,63,2024-08-11
153,50,2024-01-15
154,86,2024-06-21
155,52,2024-12-13
156,60,2024-03-25
157,80,2024-03-06
158,4,2024-09-30
159,76,2024-07-20
160,85,2024-10-15
161,11,2024-01-14
162,55,2024-11-25
163,60,2024-03-10
164,7,2024-04-03
165,49,2024-05-13
166,28,2024-06-16
167,42,2024-08-20
168,98,2024-06-21
169,36,2024-07-13
170,33,2024-08-03
171,61,2024-02-11
172,96,2024-01-10
173,7,2024-10-03
174,29,2024-06-28
175,9,2024-11-28
176,6,2024-11-29
177,32,2024-01-16
178,3,2024-04-12
179,20,2024-11-14
180,17,2024-05-02
181,86,2024-08-30
182,73,2024-02-28
183,60,2024-04-21
184,33,2024-12-24
185,22,2024-07-07
186,78,2024-11-06
187,100,2024-02-28
188,40,2024-03-24
189,75,2024-02-25
190,40,2024-01-14
191,87,2024-10-21
192,51,2024-07-11
193,10,2024-04-11
194,89,2024-10-30
195,32,2024-11-17
196,90,2024-02-22
197,88,2024-06-03
198,16,2024-11-03
199,6,2024-10-16
200,69,2024-06-26
201,85,2024-08-07
202,9,2024-07-08
203,83,2024-09-16
204,2,2024-06-23
205,63,2024-08-03
206,56,2024-02-24
207,82,2024-07-04
208,91,2024-08-23
209,56,2024-03-19
210,94,2024-03-31
211,84,2024-09-24
212,79,2024-05-18
213,100,2024-10-02
214,60,2024-09-04
215,94,2024-08-11
216,35,2024-10-30
217,32,2024-06-14
218,36,2024-02-14
219,32,2024-08-18
220,73,2024-08-25
221,86,2024-11-08
222,44,2024-07-13
223,64,2024-01-15
224,24,2024-06-15
225,28,2024-09-06
226,34,2024-06-30
227,36,2024-06-23
228,90,2024-11-01
229,72,2024-05-21
230,67,2024-01-06
231,11,2024-04-07
232,93,2024-05-03
233,63,2024-07-27
234,98,2024-10-11
235,89,2024-05-03
236,83,2024-08-31
237,63,2024-12-30
238,3,2024-08-17
239,38,2024-02-17
240,52,2024-04-23
241,32,2024-12-20
242,85,2024-06-05
243,48,2024-10-24
244,71,2024-08-30
245,45,2024-09-28
246,96,2024-08-05
247,43,2024-10-08
248,90,2024-06-29
249,35,2024-08-20
250,33,2024-06-05
251,16,2024-04-28
252,41,2024-04-08
253,96,2024-03-02
254,98,2024-10-01
255,24,2024-12-19
256,28,2024-04-08
257,36,2024-09-04
258,98,2024-10-28
259,77,2024-09-25
260,13,2024-05-24
261,38,2024-04-09
262,47,2024-04-26
263,39,2024-04-01
264,91,2024-01-08
265,17,2024-09-30
266,6,2024-05-20
267,71,2024-01-28
268,90,2024-05-29
269,82,2024-03-05
270,14,2024-09-08
271,74,2024-01-07
272,61,2024-05-25
273,57,2024-09-02
274,24,2024-06-23
275,33,2024-01-27
276,15,2024-09-01
277,52,2024-02-03
278,10,2024-09-08
279,81,2024-10-22
280,7,2024-12-17
281,20,2024-03-18
282,39,2024-10-15
283,32,2024-02-13
284,72,2024-03-01
285,78,2024-08-01
286,80,2024-11-01
287,100,2024-04-25
288,49,2024-09-24
289,57,2024-08-18
290,76,2024-06-01
291,40,2024-08-07
292,80,2024-10-18
293,79,2024-01-31
294,98,2024-02-20
295,81,2024-04-16
296,34,2024-04-18
297,11,2024-12-04
298,31,2024-03-21
299,71,2024-03-29
300,21,2024-02-08
